"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Csmd1",1.01869809766526,0.0114205755913398,0.0748177012396682,0.152645368704333,0.878677945168783,NA
"Csnk2b",1.08155733544122,0.0366793628972413,0.0720389456722956,0.509160184882429,0.610639948573402,NA
"Cspg4",1.02052471110091,0.000971278955549851,0.0749990811343579,0.0129505447381394,0.989667249129249,NA
"Cspg5",1.02160041461727,0.0225335478374945,0.0744489877089371,0.302670976878703,0.762140618010933,NA
"Csrnp1",1.03320895393228,0.0321010193953164,0.0738069484413628,0.434932212660433,0.663611631999696,NA
"Csrp2",1.02718550862068,0.0104908277893893,0.0745308065807569,0.14075827527805,0.888060906307856,NA
"Cst3",2.09286771905982,-0.400182992010906,0.0677867436735274,-5.90355828181179,3.55743867827893e-09,1.23620994070193e-07
"Cst7",1.03223617860588,-0.000730447163268632,0.0746139254122681,-0.00978968951482789,0.992189082645074,NA
"Ctbp1",1.20102763235637,-0.0138717970526041,0.069499737738933,-0.199594955375396,0.841797373426832,NA
"Ctbp2",1.03621608742833,0.00498231677831368,0.0743362280173572,0.0670240730690603,0.946562538750133,NA
"Ctla2a",1.06587529987007,0.000226968910351833,0.0734085976333984,0.00309185732555895,0.99753305870622,NA
"Ctnna2",1.14011172561971,0.0443227905082433,0.0700225093905387,0.632979179038564,0.526747239737761,NA
"Ctnnb1",1.19825020019055,-0.0305006184231891,0.0699485539425308,-0.436043587809523,0.662805105180666,NA
"Ctnnd1",1.08005895878403,-0.00853159775328091,0.0731294769372547,-0.116664279721309,0.907126097580044,NA
"Ctnnd2",1.0199892318593,-0.00212768078142608,0.0750925805185281,-0.0283341012751733,0.977395682626667,NA
"Ctps",1.2768232501309,0.0432354582692142,0.0662075533903457,0.653029088906322,0.513737525558549,0.931127137870973
"Ctsb",1.21424583081818,-0.017053449809152,0.0691918475171928,-0.246466172259883,0.805321387504719,NA
"Ctsc",1.03266493492803,0.0139536104526086,0.074251815306859,0.187922819057592,0.850937154393094,NA
"Ctsd",1.03406639939721,0.000451358080572465,0.0745202408017485,0.00605685214803915,0.995167360731963,NA
"Ctsl",1.04405817356622,0.00125209490627586,0.0741449927965618,0.0168871134657918,0.986526673267258,NA
"Ctss",1.07060840069435,-0.0364924857043923,0.0741262650042794,-0.492301692285259,0.622506083986405,NA
"Cttn",1.01569036235113,-0.00358782776257256,0.0752857093459558,-0.0476561593659911,0.961990274134059,NA
"Cttnbp2",1.11228064684401,-0.0343940273849706,0.0726598256776454,-0.473356866249024,0.635958597737888,NA
"Ctxn3",1.05318814580424,0.0145051277577308,0.0735141534730105,0.197310681990729,0.843584420643391,NA
"Cul1",1.21252021604879,0.0242327624140621,0.0683407980176007,0.354587056589845,0.722898974228872,NA
"Cul3",1.04158560393825,-0.0142900940353258,0.0745997605780951,-0.191556835096892,0.848089356861571,NA
"Cux2",1.07198761986334,0.0784862531084879,0.0714294534162964,1.09879397579965,0.271857940465884,NA
"Cx3cr1",1.02332140947183,-0.00703187490460417,0.0750874149909161,-0.093649180830834,0.925387840596685,NA
"Cxcl1",1.05168946833063,-0.00969901979887927,0.0741335996400018,-0.130831631621538,0.895908499642324,NA
"Cxcl10",1.03868238135828,-0.0062548690542576,0.074513223480017,-0.0839430742911697,0.933101692062269,NA
