NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
440,2936,23389,881,7017,13months-control-replicate_2,Inh,Pvalb_Nog
441,8108,23388,2433,7017,13months-control-replicate_2,CTX-Ex,CTX-Ex2
442,6352,23392,1906,7018,13months-control-replicate_2,Inh,Pvalb
443,12703,23385,3811,7016,13months-control-replicate_2,CTX-Ex,CTX-Ex1
444,14162,23378,4249,7014,13months-control-replicate_2,CTX-Ex,CTX-Ex1
445,11008,23383,3303,7015,13months-control-replicate_2,CTX-Ex,CTX-Ex1
446,16858,23376,5058,7013,13months-control-replicate_2,CTX-Ex,CTX-Ex2
447,6582,23380,1975,7014,13months-control-replicate_2,Micro,Micro1
448,2411,23377,724,7014,13months-control-replicate_2,CTX-Ex,CTX-Ex1
449,12835,23372,3851,7012,13months-control-replicate_2,CTX-Ex,CTX-Ex1
450,14838,23378,4452,7014,13months-control-replicate_2,CTX-Ex,CTX-Ex1
451,16454,23379,4937,7014,13months-control-replicate_2,CTX-Ex,CTX-Ex2
452,13468,23357,4041,7008,13months-control-replicate_2,CTX-Ex,CTX-Ex2
453,9591,23370,2878,7011,13months-control-replicate_2,CTX-Ex,CTX-Ex1
454,15295,23357,4589,7008,13months-control-replicate_2,CTX-Ex,CTX-Ex2
455,11615,23366,3485,7010,13months-control-replicate_2,Inh,Pvalb
456,3155,23355,947,7007,13months-control-replicate_2,Inh,Cnr1
457,14668,23335,4401,7001,13months-control-replicate_2,CTX-Ex,CTX-Ex2
458,15002,23355,4501,7007,13months-control-replicate_2,CTX-Ex,CTX-Ex1
459,4000,23366,1200,7010,13months-control-replicate_2,Oligo,Oligo1
460,13141,23350,3943,7005,13months-control-replicate_2,Endo,Endo1
461,10739,23333,3222,7000,13months-control-replicate_2,CTX-Ex,CTX-Ex1
462,4507,23338,1352,7002,13months-control-replicate_2,Micro,Micro1
463,14381,23349,4315,7005,13months-control-replicate_2,CTX-Ex,CTX-Ex1
464,4688,23325,1407,6998,13months-control-replicate_2,Endo,Endo1
465,10181,23325,3055,6998,13months-control-replicate_2,Endo,Endo1
466,6099,23332,1830,7000,13months-control-replicate_2,Endo,Endo1
467,7259,23331,2178,7000,13months-control-replicate_2,Oligo,Oligo1
468,13685,23318,4106,6996,13months-control-replicate_2,CTX-Ex,CTX-Ex2
