"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sppl2a",1.03954250618205,0.00701335436833933,0.0300870210617695,0.233102318569217,0.815681954536277,NA
"Spred3",1.02031003226549,0.000909176516888459,0.0303819948650641,0.0299248459795479,0.976126990494053,NA
"Spry4",1.03137668739837,0.00379872710946801,0.0302126421100202,0.12573303240527,0.89994325327467,NA
"Sptan1",1.04168988033474,0.00771937629068491,0.0300545198259573,0.256845770133312,0.79729783551592,NA
"Sptb",1.1442961328498,-0.0727231150378831,0.0288610651865456,-2.51976545452609,0.0117433055354132,0.0775807738031018
"Sptbn1",1.12583237359191,-0.0154769920116493,0.028964129743542,-0.534350320506356,0.593099183439116,0.938199504471866
"Sptbn2",1.03728389853505,0.0121865191693938,0.0301081916596508,0.404757592456986,0.685655703653947,NA
"Spty2d1",1.046203968667,0.00242142372505413,0.0300015914204724,0.0807098427252699,0.935672708993506,NA
"Src",1.02686573379546,-0.0110948083088915,0.0303124878864206,-0.366014440994194,0.714354299813633,NA
"Srcin1",1.1013206815806,0.0422001672263003,0.0291604738199908,1.44717014842777,0.147849275018947,0.536926314542491
"Srf",1.02299633603028,0.00166575760500021,0.0303405130163885,0.0549020909468621,0.956216466058737,NA
"Srgn",1.06908930885589,-0.0107486898558533,0.0297091638532349,-0.361797117850657,0.717503646080186,0.96498287010178
"Srrm2",2.29693592178182,0.158728487344913,0.0202699440469166,7.83073140101034,4.85039917161991e-15,1.88256117848498e-13
"Srrm4",1.04749246674115,0.0255282063449576,0.0299327879775969,0.852850939380056,0.393741971228199,NA
"Srxn1",1.11022953409836,0.027548160483513,0.0290735392802265,0.947533776950543,0.343366853083163,0.797142514423637
"Sspo",1.03245111835576,0.000694638179153262,0.0302039230351595,0.0229982766922248,0.981651647587119,NA
"Sst",1.23172453697012,0.106648097192577,0.0303975443080744,3.50844450169115,0.000450735265670205,0.00458863278657701
"Sstr2",1.01945143763571,0.000997943139984502,0.0303945562516392,0.0328329563926659,0.973807796972321,NA
"St18",1.06469409960707,-0.0481781777294148,0.0298571060330217,-1.61362516769476,0.106608754409547,NA
"St6gal1",1.0247185037601,0.00402588982058476,0.0303098390862583,0.132824519758338,0.894332162209587,NA
"St6galnac3",1.08596440158686,0.0100339886209414,0.0294327905289986,0.340911902697621,0.733169903964175,0.96498287010178
"St8sia2",1.03460092039534,0.00204784570697487,0.0301696169688756,0.0678777496276312,0.945882951118997,NA
"St8sia4",1.03266663388811,0.00460796306969007,0.0301920343308752,0.152621814720774,0.87869652088411,NA
"St8sia6",1.02858469946087,0.0121455034713305,0.0302349460073586,0.401704156123663,0.687901765464279,NA
"Stab1",1.0299821553973,-0.000553066599826168,0.030242817039438,-0.0182875358173461,0.985409470782169,NA
"Stac",1.02482147507155,0.00694761768583331,0.0303017229337259,0.229281275557456,0.818650305813276,NA
"Stac2",1.03051794479392,0.00262716611730453,0.0302278179583712,0.0869121985888157,0.930741303141864,NA
"Stag1",1.04491492346382,-0.00959179823499506,0.0300470226567995,-0.319226245626851,0.749554956170828,NA
"Stard13",1.04105065366582,-0.0108034298822569,0.0301053512086805,-0.358854138833027,0.71970420942575,NA
"Stard4",1.03825068771769,0.00433481825254863,0.0301115799014668,0.143958512530173,0.885533230515257,NA
"Stard8",1.04459576593169,0.00857451555808024,0.0300110184275657,0.285712248612143,0.775098522562738,NA
"Stat1",1.03395750339848,-0.0128387545668544,0.0302127116203457,-0.424945457666521,0.670876435675369,NA
"Stat3",1.080385648896,-0.0403642496185415,0.0296219408441571,-1.36264702677317,0.172993780302166,0.596828542042471
"Stau1",1.06608074145108,0.00386111075417652,0.0297184120594831,0.129923185210848,0.896627200615646,NA
"Stau2",1.39388252440926,0.104947237275659,0.0258263283461848,4.06357558337024,4.83266635827281e-05,0.00058844819774263
"Stc1",1.02997993297243,-0.00244805333349398,0.0302470915819387,-0.0809351645219263,0.935493514442186,NA
"Stc2",1.0203093056625,0.0034583681288429,0.0303762516889519,0.113851049308389,0.909355870149646,NA
"Steap2",1.02965635477935,0.00397926423373706,0.0302373620256345,0.131600905871469,0.895299968976845,NA
"Steap3",1.07885615822956,-0.00805159597770338,0.029568704485691,-0.272301276560823,0.78539037474314,0.968613308967837
"Steap4",1.04126111513198,0.0111964932457221,0.0300530365871477,0.372557801713467,0.709477584548232,NA
"Stk17b",1.02654381332057,0.00802721749579511,0.030274022804106,0.265151993434661,0.790892375273506,NA
"Stk32a",1.02675634408308,-6.8680431521036e-05,0.0302889951238039,-0.00226750445963328,0.998190794750468,NA
"Stk32b",1.0184839017901,0.000698898696766061,0.0304096084648085,0.0229828245758199,0.981663973334318,NA
"Stk40",1.04760323571589,0.017236505448661,0.0299491223431702,0.575526229154816,0.564935456853515,NA
"Stmn1",1.03857729068771,0.0167292811400865,0.0300796191090529,0.556166654884654,0.57809693215445,NA
"Stmn2",1.12268410072014,0.0130907744280396,0.0289424638592585,0.452303386874644,0.65105043636333,0.952543671122246
"Stmn4",1.15194232164905,0.0146236930194269,0.0285712023472916,0.511833308296636,0.608767676754653,0.93939553255818
