"tri_celltype","occurrence_num","rank","meta_p","effect_size_1","effect_size_2","effect_size_3"
"CA3&Inh&LHb",2,190,0.886536654038209,0.03785,0.06005,0.02276
"CA3&Inh&Micro",4,117,0.822581441926664,0.02276,0.06508,0.02276
"CA3&Inh&Oligo",98,174,0.84213391457482,0.07569,0.02276,0.02276
"CA3&Inh&OPC",5,143,0.822581441926664,0.02276,0.06508,0.02276
"CA3&Inh&SMC",8,37,0.84213391457482,0.07569,0.02276,0.02276
"CA3&LHb&Oligo",66,226,0.937217059774668,0.03785,0.02276,0.06005
"CA3&LHb&SMC",5,66,0.937217059774668,0.03785,0.02276,0.06005
"CA3&Micro&Oligo",75,130,0.822581441926664,0.02276,0.02276,0.06508
"CA3&Micro&SMC",7,20,0.822581441926664,0.02276,0.02276,0.06508
"CA3&Oligo&SMC",84,50,0.84213391457482,0.07569,0.02276,0.02276
"CA3&OPC&Oligo",64,156,0.822581441926664,0.02276,0.02276,0.06508
"CA3&OPC&SMC",8,29,0.822581441926664,0.02276,0.02276,0.06508
"CTX-Ex&DG&Endo",972,198,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&DG&Inh",1051,177,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&DG&LHb",696,233,0.937217059774668,0.06005,0.03785,0.02276
"CTX-Ex&DG&Micro",803,133,0.822581441926664,0.06508,0.02276,0.02276
"CTX-Ex&DG&Oligo",1262,213,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&DG&OPC",755,159,0.822581441926664,0.06508,0.02276,0.02276
"CTX-Ex&DG&SMC",801,53,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&Endo&Inh",1392,164,1,0.07569,0.07569,0.07569
"CTX-Ex&Endo&LHb",962,201,0.97959675254374,0.03785,0.03785,0.07569
"CTX-Ex&Endo&Micro",1091,120,0.84213391457482,0.02276,0.02276,0.07569
"CTX-Ex&Endo&Oligo",1656,191,1,0.07569,0.07569,0.07569
"CTX-Ex&Endo&OPC",1028,146,0.84213391457482,0.02276,0.02276,0.07569
"CTX-Ex&Endo&SMC",1101,40,1,0.07569,0.07569,0.07569
"CTX-Ex&Inh&LHb",1042,180,0.97959675254374,0.03785,0.03785,0.07569
"CTX-Ex&Inh&Micro",1179,113,0.84213391457482,0.02276,0.02276,0.07569
"CTX-Ex&Inh&Oligo",1756,170,1,0.07569,0.07569,0.07569
"CTX-Ex&Inh&OPC",1121,139,0.84213391457482,0.02276,0.02276,0.07569
"CTX-Ex&Inh&SMC",1173,33,1,0.07569,0.07569,0.07569
"CTX-Ex&LHb&Micro",792,136,0.886536654038209,0.06005,0.02276,0.03785
"CTX-Ex&LHb&Oligo",1270,216,0.97959675254374,0.03785,0.07569,0.03785
"CTX-Ex&LHb&OPC",745,162,0.886536654038209,0.06005,0.02276,0.03785
"CTX-Ex&LHb&SMC",792,56,0.97959675254374,0.03785,0.07569,0.03785
"CTX-Ex&Micro&Oligo",1406,126,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&Micro&OPC",853,110,0.822581441926664,0.06508,0.02276,0.02276
"CTX-Ex&Micro&SMC",905,16,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&Oligo&SMC",1407,46,1,0.07569,0.07569,0.07569
"CTX-Ex&OPC&Oligo",1345,152,0.84213391457482,0.02276,0.07569,0.02276
"CTX-Ex&OPC&SMC",862,25,0.84213391457482,0.02276,0.07569,0.02276
"DG&Endo&Inh",10,166,0.84213391457482,0.07569,0.02276,0.02276
"DG&Endo&LHb",2,208,0.886536654038209,0.03785,0.06005,0.02276
"DG&Endo&Micro",5,122,0.822581441926664,0.02276,0.06508,0.02276
"DG&Endo&Oligo",83,193,0.84213391457482,0.07569,0.02276,0.02276
"DG&Endo&OPC",3,148,0.822581441926664,0.02276,0.06508,0.02276
"DG&Endo&SMC",14,42,0.84213391457482,0.07569,0.02276,0.02276
"DG&Inh&LHb",2,187,0.886536654038209,0.03785,0.06005,0.02276
"DG&Inh&Micro",4,115,0.822581441926664,0.02276,0.06508,0.02276
"DG&Inh&Oligo",98,172,0.84213391457482,0.07569,0.02276,0.02276
"DG&Inh&OPC",5,141,0.822581441926664,0.02276,0.06508,0.02276
"DG&Inh&SMC",8,35,0.84213391457482,0.07569,0.02276,0.02276
"DG&LHb&Oligo",66,223,0.937217059774668,0.03785,0.02276,0.06005
"DG&LHb&SMC",5,63,0.937217059774668,0.03785,0.02276,0.06005
"DG&Micro&Oligo",77,128,0.822581441926664,0.02276,0.02276,0.06508
"DG&Micro&SMC",7,18,0.822581441926664,0.02276,0.02276,0.06508
"DG&Oligo&SMC",84,48,0.84213391457482,0.07569,0.02276,0.02276
"DG&OPC&Oligo",65,154,0.822581441926664,0.02276,0.02276,0.06508
"DG&OPC&SMC",8,27,0.822581441926664,0.02276,0.02276,0.06508
"Endo&Inh&LHb",10,169,0.97959675254374,0.03785,0.03785,0.07569
"Endo&Inh&Micro",21,111,0.84213391457482,0.02276,0.02276,0.07569
"Endo&Inh&Oligo",149,163,1,0.07569,0.07569,0.07569
"Endo&Inh&OPC",15,137,0.84213391457482,0.02276,0.02276,0.07569
"Endo&Inh&SMC",30,31,1,0.07569,0.07569,0.07569
"Endo&LHb&Micro",5,125,0.886536654038209,0.06005,0.02276,0.03785
"Endo&LHb&Oligo",97,196,0.97959675254374,0.03785,0.07569,0.03785
"Endo&LHb&OPC",3,151,0.886536654038209,0.06005,0.02276,0.03785
"Endo&LHb&SMC",15,45,0.97959675254374,0.03785,0.07569,0.03785
"Endo&Micro&Oligo",110,119,0.84213391457482,0.02276,0.07569,0.02276
"Endo&Micro&OPC",6,108,0.822581441926664,0.06508,0.02276,0.02276
"Endo&Micro&SMC",20,14,0.84213391457482,0.02276,0.07569,0.02276
"Endo&Oligo&SMC",124,39,1,0.07569,0.07569,0.07569
"Endo&OPC&Oligo",94,145,0.84213391457482,0.02276,0.07569,0.02276
"Endo&OPC&SMC",20,23,0.84213391457482,0.02276,0.07569,0.02276
"Inh&LHb&Micro",4,118,0.886536654038209,0.06005,0.02276,0.03785
"Inh&LHb&Oligo",112,175,0.97959675254374,0.03785,0.07569,0.03785
"Inh&LHb&OPC",8,144,0.886536654038209,0.06005,0.02276,0.03785
"Inh&LHb&SMC",9,38,0.97959675254374,0.03785,0.07569,0.03785
"Inh&Micro&Oligo",121,112,0.84213391457482,0.02276,0.07569,0.02276
"Inh&Micro&OPC",7,107,0.822581441926664,0.06508,0.02276,0.02276
"Inh&Micro&SMC",15,13,0.84213391457482,0.02276,0.07569,0.02276
"Inh&Oligo&SMC",133,32,1,0.07569,0.07569,0.07569
"Inh&OPC&Oligo",117,138,0.84213391457482,0.02276,0.07569,0.02276
"Inh&OPC&SMC",16,22,0.84213391457482,0.02276,0.07569,0.02276
"LHb&Micro&Oligo",90,131,0.886536654038209,0.02276,0.03785,0.06005
"LHb&Micro&SMC",8,21,0.886536654038209,0.02276,0.03785,0.06005
"LHb&Oligo&SMC",100,51,0.97959675254374,0.07569,0.03785,0.03785
"LHb&OPC&Oligo",76,157,0.886536654038209,0.02276,0.03785,0.06005
"LHb&OPC&SMC",9,30,0.886536654038209,0.02276,0.03785,0.06005
"Micro&Oligo&SMC",114,15,0.84213391457482,0.07569,0.02276,0.02276
"Micro&OPC&Oligo",84,109,0.822581441926664,0.02276,0.02276,0.06508
"Micro&OPC&SMC",11,12,0.822581441926664,0.02276,0.02276,0.06508
"OPC&Oligo&SMC",102,24,0.84213391457482,0.07569,0.02276,0.02276
